1,Bristol/Jhnsn Cty/Kngsprt,Tennessee,TRI,0,34
1,Chattanooga,Tennessee,CHA,0,40
1,Clarksville,Tennessee,CKV,0,37
1,Crossville,Tennessee,CSV,0,34
1,Knoxville,Tennessee,TYS,0,36
1,Memphis,Tennessee,MEM,0,40
1,Nashville,Tennessee,BNA,0,39
1,Bristol/Jhnsn Cty/Kngsprt,Tennessee,TRI,0.67,37
1,Chattanooga,Tennessee,CHA,0.61,41
1,Clarksville,Tennessee,CKV,0.85,36
1,Crossville,Tennessee,CSV,0.94,37
1,Knoxville,Tennessee,TYS,0.32,38
1,Memphis,Tennessee,MEM,1.42,41
1,Nashville,Tennessee,BNA,0.3,41
1,Bristol/Jhnsn Cty/Kngsprt,Tennessee,TRI,0.5,32
1,Chattanooga,Tennessee,CHA,0.28,38
1,Clarksville,Tennessee,CKV,0.35,35
1,Crossville,Tennessee,CSV,0.07,33
1,Knoxville,Tennessee,TYS,0.44,35
1,Memphis,Tennessee,MEM,0.05,42
1,Nashville,Tennessee,BNA,0.37,37
1,Bristol/Jhnsn Cty/Kngsprt,Tennessee,TRI,1.29,24
1,Chattanooga,Tennessee,CHA,1.95,30
1,Clarksville,Tennessee,CKV,0.75,24
1,Crossville,Tennessee,CSV,1.77,24
1,Knoxville,Tennessee,TYS,1.29,27
1,Memphis,Tennessee,MEM,0.76,32
1,Nashville,Tennessee,BNA,1.42,26
1,Bristol/Jhnsn Cty/Kngsprt,Tennessee,TRI,0.46,35
1,Chattanooga,Tennessee,CHA,0.83,44
1,Clarksville,Tennessee,CKV,0.12,43
1,Crossville,Tennessee,CSV,0.67,42
1,Knoxville,Tennessee,TYS,0.71,42
1,Memphis,Tennessee,MEM,0.04,49
1,Nashville,Tennessee,BNA,0.08,45
2,Bristol/Jhnsn Cty/Kngsprt,Tennessee,TRI,1.58,43
2,Chattanooga,Tennessee,CHA,2.75,49
2,Clarksville,Tennessee,CKV,1.56,44
2,Crossville,Tennessee,CSV,2.87,43
2,Knoxville,Tennessee,TYS,3.09,47
2,Memphis,Tennessee,MEM,1.74,48
2,Nashville,Tennessee,BNA,1.24,46
2,Bristol/Jhnsn Cty/Kngsprt,Tennessee,TRI,0.62,25
2,Chattanooga,Tennessee,CHA,0.02,35
2,Clarksville,Tennessee,CKV,0.27,28
2,Crossville,Tennessee,CSV,0.09,26
2,Knoxville,Tennessee,TYS,0.14,29
2,Memphis,Tennessee,MEM,0.11,39
2,Nashville,Tennessee,BNA,0.28,31
2,Bristol/Jhnsn Cty/Kngsprt,Tennessee,TRI,1.01,44
2,Chattanooga,Tennessee,CHA,1.63,47
2,Clarksville,Tennessee,CKV,0.88,47
2,Crossville,Tennessee,CSV,3.83,45
2,Knoxville,Tennessee,TYS,1.9,44
2,Memphis,Tennessee,MEM,1.7,55
2,Nashville,Tennessee,BNA,1.79,50
2,Bristol/Jhnsn Cty/Kngsprt,Tennessee,TRI,1.27,43
2,Chattanooga,Tennessee,CHA,2.67,49
2,Clarksville,Tennessee,CKV,1.74,45
2,Crossville,Tennessee,CSV,2.15,44
2,Knoxville,Tennessee,TYS,1.99,46
2,Memphis,Tennessee,MEM,2.03,48
2,Nashville,Tennessee,BNA,1.15,47
3,Bristol/Jhnsn Cty/Kngsprt,Tennessee,TRI,0.38,40
3,Chattanooga,Tennessee,CHA,0.49,47
3,Clarksville,Tennessee,CKV,0.53,41
3,Crossville,Tennessee,CSV,0.57,41
3,Knoxville,Tennessee,TYS,0.39,43
3,Memphis,Tennessee,MEM,1.08,52
3,Nashville,Tennessee,BNA,0.84,45
3,Bristol/Jhnsn Cty/Kngsprt,Tennessee,TRI,0.08,60
